"APname","APnum","png","X","Y"
"7781-wwt-bowl-s30-s29-c-w","70:db:98:e1:38:c8",2,1729,1787
"7781-wwt-bowl-s30-s29-w-i","70:db:98:e1:35:d0",2,1821,1759
"7781-wwt-bowl-s31-s30-c-w","70:db:98:66:4c:02",2,1565,1879
"7781-wwt-bowl-s31-s30-w-i","70:db:98:66:4c:c2",2,1649,1839
"7781-wwt-bowl-s32-i-w","70:db:98:66:4d:32",2,1341,2039
"7781-wwt-bowl-s32-s31-c-w","00:a7:42:98:54:b0",2,1399,1969
"7781-wwt-bowl-s32-s31-w-i","f8:0b:cb:fc:44:6c",2,1493,1929
"7781-wwt-bowl-s3-s2-i-w","70:db:98:66:4e:20",1,1276,2126
"7781-wwt-bowl-s5-s4-i-w","70:db:98:66:4e:f8",1,1642,2138
"7781-wwt-bowl-s6-s5-c-w","70:db:98:66:5c:10",1,1928,2086
"7781-wwt-bowl-s6-s5-i-w","2c:5a:0f:70:d2:68",1,1824,2104
"7781-wwt-bowl-s7-s6-c-w","70:db:98:e1:37:10",1,2122,2042
"7781-wwt-bowl-s7-s6-i-w","70:db:98:e1:38:f4",1,2006,2082
"7781-wwt-bowl-s8-s7-c-w","70:db:98:66:68:6a",1,2280,1998
"7781-wwt-bowl-s8-s7-i-w","70:db:98:e1:29:48",1,2186,2036
"7781-wwt-bowl-s9-s8-c-w","2c:5a:0f:70:bb:5e",1,2452,1928
"7781-wwt-bowl-s9-s8-i-w","70:db:98:66:68:5c",1,2354,1964
"7781-wwt-concourse-1-c","2c:5a:0f:70:cc:2c",2,2905,1203
"7781-wwt-concourse-2-c","70:db:98:e1:38:d6",2,2599,1205
"7781-wwt-concourse-3-c","70:db:98:66:5e:24",2,2285,1241
"7781-wwt-concourse-4-c","70:db:98:e1:38:fa",2,1967,1331
"7781-wwt-concourse-5-c","a0:e0:af:4d:6a:a8",2,1517,1521
"7781-wwt-concourse-6-c","70:db:98:66:4e:80",2,2071,985
"7781-wwt-east-con-109-c","00:42:68:a7:af:2e",1,1660,2632
"7781-wwt-east-con-110-c","00:42:68:a7:b4:b4",1,1818,2620
"7781-wwt-east-con-113-c","cc:16:7e:83:9d:6e",1,2208,2546
"7781-wwt-east-con-114-c","cc:16:7e:98:56:e4",1,2378,2514
"7781-wwt-east-con-124-l-c","cc:16:7e:83:9d:f8",1,2734,2308
"7781-wwt-east-con-124-r-c","cc:16:7e:83:af:ee",1,2578,2362
"7781-wwt-east-gate-2-c","00:f6:63:6f:92:e8",1,1482,2824
"7781-wwt-east-gate-c-1","cc:16:7e:83:e0:34",1,1360,2836
"7781-wwt-east-ticket-mdf","00:42:68:a7:af:b0",1,1282,2914
"7781-wwt-field-31-w","70:db:98:e1:38:fc",1,1086,737
"7781-wwt-field-4-w","70:db:98:66:4e:04",1,1554,1727
"7781-wwt-nticket-booth-c","00:f6:63:6f:92:5a",1,3439,392
"7781-wwt-nticket-east-c","cc:16:7e:98:7d:28",1,3558,672
"7781-wwt-nticket-middle","cc:16:7e:98:7d:60",1,3554,548
"7781-wwt-nticket-west-c","cc:16:7e:83:d7:02",1,3543,450
"7781-wwt-powersgate-l-c","00:42:68:a7:af:6c",2,1937,933
"7781-wwt-powersgate-r-c","cc:16:7e:83:96:86",2,2265,857
"7781-wwt-west-con-107-c","2c:33:11:80:76:d4",2,2585,1009
"7781-wwt-west-con-111-c","00:a3:8e:4a:26:94",2,2349,1043
"7781-wwt-west-con-122-c","a0:23:9f:64:d8:6e",2,1945,1133
"7781-wwt-west-con-129-c","a0:23:9f:64:d8:68",2,1723,1223
"7781-wwt-west-con-135-c","a0:23:9f:64:d8:82",2,1511,1305
"7781-wwt-willcall-c","cc:16:7e:83:d7:3c",2,2095,653
"7781-wwt-bowl-east-store-c","cc:16:7e:83:af:e6",1,2028,2597
